INFO:root:Start SimCLR training for 400 epochs.
INFO:root:Training with gpu: None.
DEBUG:root:Epoch: 146	Loss: 0.988743007183075	Best ACC: 64.453125
DEBUG:root:Epoch: 147	Loss: 0.838941216468811	Best ACC: 75.0
DEBUG:root:Epoch: 148	Loss: 0.9648779630661011	Best ACC: 69.140625
DEBUG:root:Epoch: 149	Loss: 0.9757378101348877	Best ACC: 67.578125
DEBUG:root:Epoch: 150	Loss: 0.9894510507583618	Best ACC: 70.703125
DEBUG:root:Epoch: 151	Loss: 0.8897149562835693	Best ACC: 66.796875
DEBUG:root:Epoch: 152	Loss: 0.8721011877059937	Best ACC: 73.4375
DEBUG:root:Epoch: 153	Loss: 0.973530113697052	Best ACC: 65.625
DEBUG:root:Epoch: 154	Loss: 0.8475301861763	Best ACC: 62.109375
DEBUG:root:Epoch: 155	Loss: 0.8292095065116882	Best ACC: 69.921875
DEBUG:root:Epoch: 156	Loss: 0.9209004640579224	Best ACC: 65.625
DEBUG:root:Epoch: 157	Loss: 0.9029771089553833	Best ACC: 69.921875
DEBUG:root:Epoch: 158	Loss: 0.9028023481369019	Best ACC: 75.78125
DEBUG:root:Epoch: 159	Loss: 0.9046651721000671	Best ACC: 71.09375
DEBUG:root:Epoch: 160	Loss: 0.8871883749961853	Best ACC: 69.921875
DEBUG:root:Epoch: 161	Loss: 0.7478892207145691	Best ACC: 69.921875
DEBUG:root:Epoch: 162	Loss: 0.7438335418701172	Best ACC: 61.328125
DEBUG:root:Epoch: 163	Loss: 0.8857542276382446	Best ACC: 67.96875
DEBUG:root:Epoch: 164	Loss: 0.8936595320701599	Best ACC: 72.65625
DEBUG:root:Epoch: 165	Loss: 0.8977463245391846	Best ACC: 75.0
DEBUG:root:Epoch: 166	Loss: 0.8315359950065613	Best ACC: 73.828125
DEBUG:root:Epoch: 167	Loss: 0.8849301934242249	Best ACC: 66.015625
DEBUG:root:Epoch: 168	Loss: 0.808361828327179	Best ACC: 67.1875
DEBUG:root:Epoch: 169	Loss: 0.8844494223594666	Best ACC: 69.53125
DEBUG:root:Epoch: 170	Loss: 0.8462770581245422	Best ACC: 69.53125
DEBUG:root:Epoch: 171	Loss: 0.8982424736022949	Best ACC: 66.796875
DEBUG:root:Epoch: 172	Loss: 0.8341097235679626	Best ACC: 70.703125
DEBUG:root:Epoch: 173	Loss: 0.8148280382156372	Best ACC: 71.875
DEBUG:root:Epoch: 174	Loss: 0.8770899176597595	Best ACC: 69.53125
DEBUG:root:Epoch: 175	Loss: 0.9113610982894897	Best ACC: 68.359375
DEBUG:root:Epoch: 176	Loss: 0.8515866994857788	Best ACC: 74.609375
DEBUG:root:Epoch: 177	Loss: 0.8611071705818176	Best ACC: 73.4375
DEBUG:root:Epoch: 178	Loss: 0.8454739451408386	Best ACC: 69.140625
DEBUG:root:Epoch: 179	Loss: 0.7961277365684509	Best ACC: 69.921875
DEBUG:root:Epoch: 180	Loss: 0.8417481780052185	Best ACC: 69.140625
DEBUG:root:Epoch: 181	Loss: 0.9117503762245178	Best ACC: 71.09375
DEBUG:root:Epoch: 182	Loss: 0.7898432016372681	Best ACC: 68.75
DEBUG:root:Epoch: 183	Loss: 0.7832946181297302	Best ACC: 66.015625
DEBUG:root:Epoch: 184	Loss: 0.7828139066696167	Best ACC: 72.65625
DEBUG:root:Epoch: 185	Loss: 0.8242374658584595	Best ACC: 69.921875
DEBUG:root:Epoch: 186	Loss: 0.8430310487747192	Best ACC: 72.65625
DEBUG:root:Epoch: 187	Loss: 0.8732079863548279	Best ACC: 75.0
DEBUG:root:Epoch: 188	Loss: 0.7995101809501648	Best ACC: 72.65625
DEBUG:root:Epoch: 189	Loss: 0.773887574672699	Best ACC: 67.96875
DEBUG:root:Epoch: 190	Loss: 0.8166709542274475	Best ACC: 72.65625
DEBUG:root:Epoch: 191	Loss: 0.8774568438529968	Best ACC: 69.921875
DEBUG:root:Epoch: 192	Loss: 0.8209494352340698	Best ACC: 65.625
DEBUG:root:Epoch: 193	Loss: 0.8228614330291748	Best ACC: 68.75
DEBUG:root:Epoch: 194	Loss: 0.9529035687446594	Best ACC: 68.75
DEBUG:root:Epoch: 195	Loss: 0.7919585108757019	Best ACC: 67.1875
DEBUG:root:Epoch: 196	Loss: 0.7156949639320374	Best ACC: 69.140625
DEBUG:root:Epoch: 197	Loss: 0.8066238164901733	Best ACC: 69.921875
DEBUG:root:Epoch: 198	Loss: 0.8253379464149475	Best ACC: 72.265625
DEBUG:root:Epoch: 199	Loss: 0.8459378480911255	Best ACC: 74.21875
DEBUG:root:Epoch: 200	Loss: 0.7947690486907959	Best ACC: 64.84375
DEBUG:root:Epoch: 201	Loss: 0.8605177998542786	Best ACC: 76.953125
DEBUG:root:Epoch: 202	Loss: 0.8777278065681458	Best ACC: 68.359375
DEBUG:root:Epoch: 203	Loss: 0.8928827047348022	Best ACC: 68.359375
DEBUG:root:Epoch: 204	Loss: 0.8437832593917847	Best ACC: 69.140625
DEBUG:root:Epoch: 205	Loss: 0.7977520227432251	Best ACC: 74.609375
DEBUG:root:Epoch: 206	Loss: 0.8458938002586365	Best ACC: 67.1875
DEBUG:root:Epoch: 207	Loss: 0.8713423013687134	Best ACC: 69.140625
DEBUG:root:Epoch: 208	Loss: 0.8029109835624695	Best ACC: 76.5625
DEBUG:root:Epoch: 209	Loss: 0.894916832447052	Best ACC: 75.0
DEBUG:root:Epoch: 210	Loss: 0.8931670188903809	Best ACC: 74.21875
DEBUG:root:Epoch: 211	Loss: 0.775550365447998	Best ACC: 74.21875
DEBUG:root:Epoch: 212	Loss: 0.8380471467971802	Best ACC: 73.046875
DEBUG:root:Epoch: 213	Loss: 0.8369556665420532	Best ACC: 72.65625
DEBUG:root:Epoch: 214	Loss: 0.8175541758537292	Best ACC: 69.921875
DEBUG:root:Epoch: 215	Loss: 0.8408745527267456	Best ACC: 74.609375
DEBUG:root:Epoch: 216	Loss: 0.7955259084701538	Best ACC: 69.921875
DEBUG:root:Epoch: 217	Loss: 0.8494104146957397	Best ACC: 69.140625
DEBUG:root:Epoch: 218	Loss: 0.8125013113021851	Best ACC: 72.265625
DEBUG:root:Epoch: 219	Loss: 0.766639769077301	Best ACC: 74.609375
DEBUG:root:Epoch: 220	Loss: 0.8061918020248413	Best ACC: 68.75
DEBUG:root:Epoch: 221	Loss: 0.9938269257545471	Best ACC: 67.578125
DEBUG:root:Epoch: 222	Loss: 0.9038159847259521	Best ACC: 71.875
DEBUG:root:Epoch: 223	Loss: 0.7887813448905945	Best ACC: 73.828125
DEBUG:root:Epoch: 224	Loss: 0.8353098034858704	Best ACC: 76.171875
DEBUG:root:Epoch: 225	Loss: 0.9650298953056335	Best ACC: 75.78125
DEBUG:root:Epoch: 226	Loss: 0.8105077743530273	Best ACC: 67.96875
DEBUG:root:Epoch: 227	Loss: 0.8534426093101501	Best ACC: 66.40625
DEBUG:root:Epoch: 228	Loss: 0.8381975293159485	Best ACC: 70.3125
DEBUG:root:Epoch: 229	Loss: 1.033324122428894	Best ACC: 69.53125
DEBUG:root:Epoch: 230	Loss: 0.7944462895393372	Best ACC: 69.53125
DEBUG:root:Epoch: 231	Loss: 0.7934496402740479	Best ACC: 64.453125
DEBUG:root:Epoch: 232	Loss: 0.9431173205375671	Best ACC: 66.796875
DEBUG:root:Epoch: 233	Loss: 0.8500655889511108	Best ACC: 69.921875
DEBUG:root:Epoch: 234	Loss: 0.8072710037231445	Best ACC: 73.046875
DEBUG:root:Epoch: 235	Loss: 0.8982397317886353	Best ACC: 70.3125
DEBUG:root:Epoch: 236	Loss: 0.9743983149528503	Best ACC: 71.484375
DEBUG:root:Epoch: 237	Loss: 0.8114287853240967	Best ACC: 74.609375
DEBUG:root:Epoch: 238	Loss: 0.904390811920166	Best ACC: 66.796875
DEBUG:root:Epoch: 239	Loss: 0.8420042991638184	Best ACC: 63.28125
DEBUG:root:Epoch: 240	Loss: 0.878823459148407	Best ACC: 73.828125
DEBUG:root:Epoch: 241	Loss: 0.7950352430343628	Best ACC: 69.921875
DEBUG:root:Epoch: 242	Loss: 0.8370034098625183	Best ACC: 72.65625
DEBUG:root:Epoch: 243	Loss: 0.794949471950531	Best ACC: 73.4375
DEBUG:root:Epoch: 244	Loss: 0.8554478287696838	Best ACC: 75.390625
DEBUG:root:Epoch: 245	Loss: 0.8484509587287903	Best ACC: 67.578125
DEBUG:root:Epoch: 246	Loss: 0.8541714549064636	Best ACC: 69.53125
DEBUG:root:Epoch: 247	Loss: 0.9874117374420166	Best ACC: 72.65625
DEBUG:root:Epoch: 248	Loss: 0.8860205411911011	Best ACC: 73.046875
DEBUG:root:Epoch: 249	Loss: 0.8599038124084473	Best ACC: 69.53125
DEBUG:root:Epoch: 250	Loss: 0.8620490431785583	Best ACC: 64.0625
DEBUG:root:Epoch: 251	Loss: 0.8226532936096191	Best ACC: 70.3125
DEBUG:root:Epoch: 252	Loss: 1.0166300535202026	Best ACC: 71.484375
DEBUG:root:Epoch: 253	Loss: 0.8910419344902039	Best ACC: 69.140625
DEBUG:root:Epoch: 254	Loss: 0.7705127000808716	Best ACC: 63.671875
DEBUG:root:Epoch: 255	Loss: 0.8996618390083313	Best ACC: 67.578125
DEBUG:root:Epoch: 256	Loss: 0.8973982334136963	Best ACC: 71.875
DEBUG:root:Epoch: 257	Loss: 0.7581367492675781	Best ACC: 65.234375
DEBUG:root:Epoch: 258	Loss: 1.0223267078399658	Best ACC: 73.046875
DEBUG:root:Epoch: 259	Loss: 0.7939706444740295	Best ACC: 71.09375
DEBUG:root:Epoch: 260	Loss: 0.9190703630447388	Best ACC: 64.84375
DEBUG:root:Epoch: 261	Loss: 0.7487290501594543	Best ACC: 71.484375
DEBUG:root:Epoch: 262	Loss: 0.9629282355308533	Best ACC: 67.96875
DEBUG:root:Epoch: 263	Loss: 0.8971056938171387	Best ACC: 71.484375
DEBUG:root:Epoch: 264	Loss: 0.8715025782585144	Best ACC: 67.1875
DEBUG:root:Epoch: 265	Loss: 0.7709785103797913	Best ACC: 72.65625
DEBUG:root:Epoch: 266	Loss: 0.7611210942268372	Best ACC: 68.359375
DEBUG:root:Epoch: 267	Loss: 0.8817073702812195	Best ACC: 72.265625
DEBUG:root:Epoch: 268	Loss: 0.8746899366378784	Best ACC: 72.265625
DEBUG:root:Epoch: 269	Loss: 0.8721333146095276	Best ACC: 70.703125
DEBUG:root:Epoch: 270	Loss: 0.9144445657730103	Best ACC: 65.234375
DEBUG:root:Epoch: 271	Loss: 0.8096940517425537	Best ACC: 71.484375
DEBUG:root:Epoch: 272	Loss: 0.8471336364746094	Best ACC: 66.796875
DEBUG:root:Epoch: 273	Loss: 0.8429970145225525	Best ACC: 61.328125
DEBUG:root:Epoch: 274	Loss: 0.8326654434204102	Best ACC: 67.96875
DEBUG:root:Epoch: 275	Loss: 0.8095221519470215	Best ACC: 70.703125
DEBUG:root:Epoch: 276	Loss: 0.8979867100715637	Best ACC: 67.1875
DEBUG:root:Epoch: 277	Loss: 0.8530286550521851	Best ACC: 69.921875
DEBUG:root:Epoch: 278	Loss: 0.8583323955535889	Best ACC: 69.140625
DEBUG:root:Epoch: 279	Loss: 0.8872590661048889	Best ACC: 69.140625
DEBUG:root:Epoch: 280	Loss: 0.7901307344436646	Best ACC: 63.671875
DEBUG:root:Epoch: 281	Loss: 0.8134799599647522	Best ACC: 75.0
DEBUG:root:Epoch: 282	Loss: 0.917487382888794	Best ACC: 66.40625
DEBUG:root:Epoch: 283	Loss: 0.9241032004356384	Best ACC: 67.578125
DEBUG:root:Epoch: 284	Loss: 0.8473341464996338	Best ACC: 69.140625
DEBUG:root:Epoch: 285	Loss: 0.7560713291168213	Best ACC: 65.234375
DEBUG:root:Epoch: 286	Loss: 0.8414465188980103	Best ACC: 67.1875
DEBUG:root:Epoch: 287	Loss: 0.9422071576118469	Best ACC: 70.703125
DEBUG:root:Epoch: 288	Loss: 0.888097882270813	Best ACC: 70.703125
DEBUG:root:Epoch: 289	Loss: 0.8846427202224731	Best ACC: 63.28125
DEBUG:root:Epoch: 290	Loss: 0.7804021835327148	Best ACC: 66.015625
DEBUG:root:Epoch: 291	Loss: 0.9052420854568481	Best ACC: 66.796875
DEBUG:root:Epoch: 292	Loss: 1.0696253776550293	Best ACC: 65.234375
